TimestampInt,ApplicationTypeEncoded
1744463280,0
1742389380,1
1744554420,2
1744550820,0
1744539900,1
1743849120,3
1744350600,4
1743929940,5
1743419700,6
1742218920,6
1744262040,7
1743853620,1
1743168060,7
1742535300,5
1743083760,6
1742473800,3
1742444400,7
1742528160,1
1742648220,1
1744529700,1
1742380800,1
1744110420,6
1744632300,7
1742197260,1
1743670800,2
1743164640,5
1743411960,3
1742539140,5
1744370460,5
1742475360,0
1742636940,0
1743854400,6
1743167400,5
1744187460,5
1744018740,6
1743161640,3
1743924600,5
1744102380,1
1743140160,1
1742896800,0
1744547940,0
1744285680,5
1744531260,5
1742128200,0
1743509640,2
1743246420,3
1743920760,5
1742646240,5
1744118700,7
1743071640,7
1742304480,1
1742275740,4
1743229860,0
1742791620,4
1743486660,1
1744088700,4
1743843600,3
1743672480,5
1742564520,1
1743825960,1
1742192460,6
1744378860,0
1742727600,3
1743917100,3
1742215800,6
1743499380,5
1743588720,5
1742274660,5
1744198320,0
1744606200,0
1743763020,2
1743916800,1
1742530980,7
1743850980,0
1743320460,7
1743597840,3
1742801880,1
1743652020,6
1742394360,5
1742910240,3
1742721000,5
1743070920,3
1743847500,2
1743925980,1
1744349580,3
1743224220,3
1743573600,3
1743403260,0
1742709840,4
1742792760,1
1742198520,2
1743152700,6
1744170120,3
1742636340,0
1742295360,2
1743853020,2
1742878620,2
1743083160,5
1743221640,5
1742372580,2
1742738760,5
1742823060,3
1743916800,5
1743424380,2
1742804700,3
1742817780,0
1743493800,0
1742974860,5
1742704020,2
1742107680,1
1744192320,2
1744357620,0
1742445360,3
1742789160,1
1742558580,7
1742557740,5
1743578040,5
1742821500,0
1742531760,2
1742392080,3
1744623120,5
1742219040,7
1743764640,2
1743517500,5
1744619580,7
1743238020,5
1744463400,7
1744355220,2
1743860580,5
1743082140,1
1743152220,6
1743236160,0
1744535280,1
1744604880,1
1743252300,1
1744368780,5
1744023780,3
1742972880,3
1744467240,6
1743243240,2
1743258360,0
1744364940,5
1742368860,1
1742100000,0
1744530900,3
1742285100,5
1743492720,0
1742361120,3
1743756480,1
1743660600,3
1744438560,4
1742961540,1
1744182180,1
1743837600,5
1744444740,6
1743767760,7
1742477340,3
1742364000,3
1743839760,3
1743158760,3
1743058740,5
1743493140,3
1744201320,1
1744528920,5
1743924000,5
1744518300,4
1742305020,5
1742107020,7
1742452020,6
1743336840,1
1743742380,1
1743601320,3
1742878620,6
1744430160,5
1742539200,2
1743840780,0
1742190780,1
1744351860,0
1744431900,6
1742127480,2
1743688560,5
1743428760,5
1742648820,6
1742807460,2
1742650200,3
1744553220,3
1744363980,1
1743254400,7
1744175280,3
1744268220,7
1742792220,6
1743254640,6
1744086300,7
1744636560,0
1743688860,0
1742614380,6
1742207400,6
1742911680,2
1742710680,3
1743683520,5
1743664020,1
1743928140,1
1742364240,5
1744016340,5
1743512400,6
1744430880,6
1744547640,5
1744026300,1
1744638480,3
1742737080,2
1742973960,3
1743680880,5
1742724060,2
1743428940,0
1743328200,2
1742728380,2
1743496320,5
1743665700,2
1743481860,2
1742446800,6
1743688500,7
1743148500,7
1744026420,2
1742722020,0
1742718780,1
1742277060,4
1742442240,5
1743665280,7
1742471580,3
1743770400,0
1742989860,1
1742716440,0
1743580800,5
1742293080,1
1742355480,4
1742388240,6
1743254700,5
1744536060,7
1743047040,2
1744084680,6
1743068460,7
1744087620,4
1744282620,1
1742442240,1
1743741900,4
1742183520,4
1744004340,1
1744443540,5
1743068400,2
1742960940,2
1744108320,0
1743744720,2
1744170180,7
1742365260,3
1743310680,0
1742555700,6
1744630080,7
1743774240,5
1743325260,7
1743768960,6
1744463280,2
1744614720,7
1743341100,0
1743331080,3
1744088040,5
1743828600,4
1744367760,0
1742189580,1
1742619660,0
1744035720,1
1742441640,5
1743157800,0
1743079500,7
1742532000,6
1743493320,2
1744009560,1
1742614740,7
1743743220,7
1744016100,0
1744352700,0
1743653700,1
1742551680,7
1743050580,3
1743133980,3
1744606740,5
1742534700,3
1742633100,3
1742796540,1
1744201500,0
1742122620,6
1744611480,6
1744617300,0
1742281920,0
1743748140,5
1742623740,1
1743660060,6
1742631240,1
1744457820,7
1743948720,0
1742538480,1
1742364120,1
1743948600,5
1742377800,2
1742650500,0
1742626920,5
1743154200,1
1744464180,2
1743932640,3
1742200200,5
1744030620,7
1742374380,6
1743331020,6
1743831360,1
1743825300,0
1742530200,1
1743134880,0
1743236040,1
1743075300,3
1743167880,1
1744189920,3
1742973120,1
1742644860,0
1743651540,2
1742646000,2
1743329820,5
1742896920,6
1742638080,2
1743740160,0
1743146520,0
1744606200,3
1742736900,3
1743850860,1
1743141060,6
1744367880,5
1742115720,3
1743171240,7
1744090500,5
1742739300,7
1744021320,7
1742480700,0
1742718120,2
1742103240,2
1744369680,1
1744175700,4
1742887320,7
1744553280,3
1742987940,5
1743050760,2
1742642940,3
1743824400,5
1742706300,0
1743685260,1
1744268640,5
1742190480,7
1744365180,1
1744540320,7
1743144480,7
1742303160,0
1742450880,3
1744181340,6
1743861060,7
1742965260,4
1743756900,7
1744357680,2
1742355000,1
1742459940,3
1744639380,3
1744101540,1
1743500580,7
1744552980,7
1743315660,7
1744372020,6
1743247380,1
1742993100,5
1743589440,1
1744292580,0
1744613700,1
1743588180,0
1744115340,1
1742221440,1
1744035060,6
1743916620,7
1744183800,7
1744639260,5
1744639980,3
1742564580,0
1743860880,2
1742391660,7
1744363800,5
1742793480,6
1744022880,1
1742802720,7
1744637040,2
1744526940,7
1742453820,2
1744439820,0
1743149100,2
1744263180,2
1744527360,1
1743407640,3
1744017780,1
1742704800,3
1744271580,1
1744032300,3
1743938100,0
1744358460,7
1742716800,7
1743678120,2
1742282340,1
1744194780,5
1743423900,7
1743071460,3
1743077100,0
1742649060,1
1744015860,6
1744615620,6
1744108020,5
1743600900,5
1744369260,6
1744636980,3
1742099160,4
1742740140,2
1743601920,7
1742893680,7
1743334500,5
1744381440,1
1743133680,0
1742810220,3
1743501480,0
1744522140,3
1743052200,1
1742539740,0
1743769560,2
1742269920,1
1742886420,2
1743339120,7
1742709360,5
1743141840,5
1744007100,1
1742109960,6
1744622160,5
1744117380,6
1744608900,3
1744197420,3
1742823840,3
1744285560,7
1742986920,0
1744449120,3
1743050880,1
1744636140,5
1743566580,5
1742825580,0
1744357020,7
1743397440,6
1742702400,1
1744533600,0
1743586440,0
1743847980,5
1742098680,1
1743070680,0
1743670740,0
1742204580,5
1744114920,7
1742721420,5
1743911820,1
1743221880,6
1742200200,3
1743065880,7
1744260120,3
1742291880,3
1743744000,7
1743493200,0
1743508860,2
1744360440,3
1742216100,1
1742635320,3
1743602040,5
1742796960,7
1744117680,7
1744519080,6
1744085280,2
1744257300,6
1742220540,6
1743403200,3
1744441620,1
1743076740,1
1742988840,0
1742461200,5
1742801640,3
1744185240,2
1742801280,0
1742787780,7
1742562900,5
1743248160,0
1744461600,6
1742465820,0
1742131560,2
1742645280,2
1743418020,7
1744102020,0
1744270860,1
1742883780,0
1743084660,1
1743329220,5
1742202420,2
1742384220,3
1742884740,1
1743331080,5
1743047640,5
1744342560,5
1742303100,3
1743488460,1
1742285220,0
1742961180,4
1743743640,2
1743150360,6
1742449860,1
1742705220,4
1742116620,7
1744096860,4
1742195220,1
1744259940,6
1742805960,3
1744637520,1
1743222060,0
1742876040,4
1744118640,2
1742380560,5
1742468640,6
1743941580,5
1743080580,6
1743058560,3
1742983140,7
1742701020,2
1742967420,0
1742275920,2
1743667020,2
1743502680,2
1742642280,5
1742543880,5
1742371680,7
1742973900,1
1743429300,7
1743852120,0
1743659820,2
1743231960,0
1743255060,2
1744113840,0
1744003920,5
1744455900,2
1743774600,7
1743504540,3
1742456040,5
1743306180,3
1743738600,6
1743136980,2
1744006080,4
1743055080,2
1743488400,3
1744003020,3
1744540920,7
1743751800,1
1744257300,1
1743414780,0
1742644380,1
1744109220,7
1744534860,0
1742712420,3
1743407040,5
1744608300,1
1744618620,2
1742801760,7
1743337020,0
1743585120,5
1743765480,0
1742643780,7
1743063840,6
1743843840,0
1743482280,1
1742809260,0
1744609140,0
1742815560,2
1742896980,5
1742984280,7
1744031160,3
1744543380,0
1743238620,7
1744523820,5
1744020180,1
1743224340,1
1743749880,4
1743910680,7
1742887380,5
1742280060,5
1743830460,6
1743509820,7
1743768900,2
1743855840,7
1744292700,7
1742625780,2
1743946440,0
1742387880,0
1744005480,6
1743757020,5
1742471940,0
1744292640,2
1742125920,1
1743405060,7
1742557140,2
1744109880,6
1744617600,3
1742208300,0
1742133120,5
1743589320,6
1742538120,7
1744550400,7
1744015380,5
1743517560,3
1742465220,7
1743750720,1
1742625480,7
1742822760,3
1742557500,3
1742467320,0
1744533780,6
1742966280,0
1743827340,5
1743084720,3
1743169860,6
1743772620,5
1744523340,7
1743147180,1
1744603260,3
1743160740,6
1743944100,2
1744520580,1
1742461200,2
1744636560,2
1744192920,2
1742373960,3
1743830100,1
1743428580,7
1744550160,1
1743760740,5
1744026000,7
1742703360,2
1744260780,2
1744550700,1
1744265400,1
1743309900,5
1742195460,0
1742986620,6
1744375080,0
1742453280,7
1742205420,7
1743666180,7
1743058140,6
1743500580,5
1743665940,6
1744432080,0
1744008360,0
1744179000,4
1743938460,6
1743931500,3
1743338700,3
1743757800,2
1743763740,3
1742549220,1
1743516480,6
1743998220,0
1744517520,1
1743748320,3
1742616960,4
1742717220,3
1744429920,3
1743144240,5
1744267740,4
1742099940,3
1744461360,2
1743068220,1
1742709300,3
1743077760,7
1743857760,2
1743152520,2
1743232380,2
1742193960,1
1744262100,4
1744274460,2
1743068580,5
1742278680,3
1743423660,0
1744003320,4
1742985420,7
1742367780,2
1742875140,1
1744021680,1
1744020480,7
1744284660,3
1744547580,6
1744605300,1
1744627320,1
1743335460,6
1743688980,2
1742274360,4
1742480580,5
1742893320,3
1743220800,1
1744018860,5
1744278840,6
1743078780,0
1744034220,6
1744017960,3
1742187180,1
1743247740,7
1743224220,5
1744035240,5
1742113680,2
1743575880,1
1742737920,7
1743514860,6
1743224220,1
1742823480,6
1742706000,5
1742360580,1
1742554200,0
1744524420,4
1743824520,2
1743565860,0
1742114820,1
1744630680,7
1743586680,7
1742133420,1
1743240960,7
1742476560,3
1743220260,4
1743322860,6
1744010280,6
1742542560,0
1743832560,7
1744361520,5
1743945600,3
1742113560,1
1744548960,7
1743051180,0
1742627340,2
1744531920,6
1743141540,0
1742979180,2
1742719920,1
1742186640,7
1743342540,0
1744629720,2
1744173120,4
1744632420,6
1742710800,0
1743394920,5
1744602480,2
1743058560,6
1744000680,5
1742388420,3
1744452900,3
1743155280,3
1742269860,5
1742271720,5
1744355340,6
1743675240,6
1743498300,2
1742478720,3
1744640580,0
1743844500,6
1742362620,4
1742567340,2
1744093500,2
1742106660,0
1744628160,6
1743592680,6
1743409500,5
1744012860,5
1743339780,7
1744263960,7
1744432980,1
1743159540,7
1743335280,0
1743480600,3
1742617320,1
1744344000,0
1744380360,6
1743675780,6
1743657300,3
1743569940,6
1742386740,6
1742900040,7
1743076260,0
1742112600,1
1742269800,1
1743655560,2
1743750360,7
1743685020,6
1743849000,5
1744015740,3
1743517260,7
1743405420,0
1743147540,7
1744630440,5
1743656280,1
1744188120,6
1743336000,1
1744527900,2
1742965800,2
1743843480,3
1743161220,6
1744370460,6
1742886360,1
1742725140,1
1744098660,2
1743227640,0
1742721000,3
1743169500,3
1744357260,5
1742205900,0
1743928020,3
1744546200,5
1742790240,0
1743934980,5
1743854940,2
1743327600,6
1742211660,5
1742640660,6
1742967900,1
1742889060,1
1743248160,7
1744201020,3
1744619100,1
1742470560,6
1744106700,0
1742124360,2
1743931500,1
1742470860,3
1743481380,7
1744111140,0
1742095980,6
1743602520,7
1743488280,4
1743401580,2
1743946500,7
1742274180,7
1742451240,5
1742386440,0
1744256880,3
1743401580,6
1742299380,7
1742818680,2
1743774660,6
1742182320,6
1743495840,5
1743600300,2
1742881440,5
1742547060,6
1742646720,6
1743675480,3
1744522980,1
1744169760,2
1743221100,6
1743574980,2
1743254280,2
1742897640,1
1743517380,6
1742814960,5
1742813040,5
1743765600,7
1742710980,7
1742533320,3
1742214480,5
1742890380,0
1742305620,1
1743504000,3
1743316500,6
1742182200,1
1743058320,0
1742703300,5
1743423000,7
1744429440,0
1743668100,1
1744281480,7
1743686820,3
1744381740,2
1744008660,4
1743766860,2
1742727360,5
1743504180,2
1742479920,6
1742616780,7
1742285460,6
1743514620,3
1743084060,1
1743997380,4
1743515040,3
1744450500,2
1742370120,7
1742711340,1
1744378440,7
1742297160,6
1743580140,1
1742368080,3
1744640520,3
1744265220,4
1742389140,5
1743577920,2
1742807160,1
1744172580,1
1744282200,2
1743313620,2
1744266600,3
1744537680,3
1743760020,2
1744608840,1
1743664500,3
1742461260,1
1743058320,7
1744380240,0
1743481020,1
1744183140,7
1742126040,0
1743496620,7
1742543580,1
1743236640,6
1743141000,2
1744200780,0
1744615560,2
1744447260,2
1742202480,5
1744364460,7
1743661200,1
1742210220,1
1742623920,4
